Ano,Melhor Ator,Melhor Ator_Nacionalidade,Melhor Ator_Etnia,Melhor Atriz,Melhor Atriz_Nacionalidade,Melhor Atriz_Etnia,Melhor Diretor,Melhor Diretor_Nacionalidade,Melhor Diretor_Etnia,Melhor Ator Coadjuvante,Melhor Ator Coadjuvante_Nacionalidade,Melhor Ator Coadjuvante_Etnia,Melhor Atriz Coadjuvante,Melhor Atriz Coadjuvante_Nacionalidade,Melhor Atriz Coadjuvante_Etnia
1929,Emil Jannings,Suíça,,Janet Gaynor,EUA,,Lewis Milestone,Moldova],,,,,,,
1930,Warner Baxter,EUA,,Mary Pickford,Canadá,,Frank Lloyd,Reino Unido,,,,,,,
1931,Lionel Barrymore,EUA,,Marie Dressler,Canadá,,Norman Taurog,EUA,,,,,,,
1932,Wallace Beery,EUA,,Helen Hayes,EUA,,Frank Borzage,EUA,,,,,,,
1934,Charles Laughton,Reino Unido,,Katharine Hepburn,EUA,,Frank Lloyd,Reino Unido,,,,,,,
1935,Clark Gable,EUA,,Claudette Colbert,França,,Frank Capra,Itália,,,,,,,
1936,Victor McLaglen,Reino Unido,,Bette Davis,EUA,,John Ford,EUA,,,,,,,
1937,Paul Muni,Ucrânia],,Luise Rainer,Alemanha,,Frank Capra,Itália,,Walter Brennan,EUA,,Gale Sondergaard,EUA,
1938,Spencer Tracy,EUA,,Luise Rainer,Alemanha,,Leo McCarey,EUA,,Joseph Schildkraut,Áustria-Hungria [atual Áustria],,Alice Brady,EUA,
1939,Spencer Tracy,EUA,,Bette Davis,EUA,,Frank Capra,Itália,,Walter Brennan,EUA,,Fay Bainter,EUA,
1940,Robert Donat,Reino Unido,,Vivien Leigh,India],,Victor Fleming,EUA,,Thomas Mitchell,EUA,,Hattie McDaniel,EUA,
1941,James Stewart,EUA,,Ginger Rogers,EUA,,John Ford,EUA,,Walter Brennan,EUA,,Jane Darwell,EUA,
1942,Gary Cooper,EUA,,Joan Fontaine,Japão,,John Ford,EUA,,Donald Crisp,Reino Unido,,Mary Astor,EUA,
1943,James Cagney,EUA,,Greer Garson,Reino Unido,,William Wyler,France],,Van Heflin,EUA,,Teresa Wright,EUA,
1944,Paul Lukas,Áustria-Hungria [atual Hungria],,Jennifer Jones,EUA,,Michael Curtiz,Áustria-Hungria [atual Hungria],,Charles Coburn,EUA,,Katina Paxinou,Grécia,
1945,Bing Crosby,EUA,,Ingrid Bergman,Suécia,,Leo McCarey,EUA,,Barry Fitzgerald,Irlanda,,Ethel Barrymore,EUA,
1946,Ray Milland,Reino Unido,,Joan Crawford,EUA,,Billy Wilder,Poland],,James Dunn,EUA,,Anne Revere,EUA,
1947,Fredric March,EUA,,Olivia de Havilland,Japão,,William Wyler,France],,Harold Russell,Canadá,,Anne Baxter,EUA,
