Ano,Melhor Ator,Melhor Ator_Nacionalidade,Melhor Ator_Etnia,Melhor Atriz,Melhor Atriz_Nacionalidade,Melhor Atriz_Etnia,Melhor Diretor,Melhor Diretor_Nacionalidade,Melhor Diretor_Etnia,Melhor Ator Coadjuvante,Melhor Ator Coadjuvante_Nacionalidade,Melhor Ator Coadjuvante_Etnia,Melhor Atriz Coadjuvante,Melhor Atriz Coadjuvante_Nacionalidade,Melhor Atriz Coadjuvante_Etnia
1929,Emil Jannings,Suíça,Branco,Janet Gaynor,Estados Unidos,Branco,Lewis Milestone,Moldova,Branco,,,Branco,,,Branco
1930,Warner Baxter,Estados Unidos,Branco,Mary Pickford,Canadá,Branco,Frank Lloyd,Reino Unido,Branco,,,Branco,,,Branco
1931,Lionel Barrymore,Estados Unidos,Branco,Marie Dressler,Canadá,Branco,Norman Taurog,Estados Unidos,Branco,,,Branco,,,Branco
1932,Wallace Beery,Estados Unidos,Branco,Helen Hayes,Estados Unidos,Branco,Frank Borzage,Estados Unidos,Branco,,,Branco,,,Branco
1934,Charles Laughton,Reino Unido,Branco,Katharine Hepburn,Estados Unidos,Branco,Frank Lloyd,Reino Unido,Branco,,,Branco,,,Branco
1935,Clark Gable,Estados Unidos,Branco,Claudette Colbert,França,Branco,Frank Capra,Itália,Branco,,,Branco,,,Branco
1936,Victor McLaglen,Reino Unido,Branco,Bette Davis,Estados Unidos,Branco,John Ford,Estados Unidos,Branco,,,Branco,,,Branco
1937,Paul Muni,Ucrânia,Branco,Luise Rainer,Alemanha,Branco,Frank Capra,Itália,Branco,Walter Brennan,Estados Unidos,Branco,Gale Sondergaard,Estados Unidos,Branco
1938,Spencer Tracy,Estados Unidos,Branco,Luise Rainer,Alemanha,Branco,Leo McCarey,Estados Unidos,Branco,Joseph Schildkraut,Áustria,Branco,Alice Brady,Estados Unidos,Branco
1939,Spencer Tracy,Estados Unidos,Branco,Bette Davis,Estados Unidos,Branco,Frank Capra,Itália,Branco,Walter Brennan,Estados Unidos,Branco,Fay Bainter,Estados Unidos,Branco
1940,Robert Donat,Reino Unido,Branco,Vivien Leigh,Índia,Branco,Victor Fleming,Estados Unidos,Branco,Thomas Mitchell,Estados Unidos,Branco,Hattie McDaniel,Estados Unidos,Negra
1941,James Stewart,Estados Unidos,Branco,Ginger Rogers,Estados Unidos,Branco,John Ford,Estados Unidos,Branco,Walter Brennan,Estados Unidos,Branco,Jane Darwell,Estados Unidos,Branco
1942,Gary Cooper,Estados Unidos,Branco,Joan Fontaine,Japão,Branco,John Ford,Estados Unidos,Branco,Donald Crisp,Reino Unido,Branco,Mary Astor,Estados Unidos,Branco
1943,James Cagney,Estados Unidos,Branco,Greer Garson,Reino Unido,Branco,William Wyler,França,Branco,Van Heflin,Estados Unidos,Branco,Teresa Wright,Estados Unidos,Branco
1944,Paul Lukas,Áustria,Branco,Jennifer Jones,Estados Unidos,Branco,Michael Curtiz,Áustria,Branco,Charles Coburn,Estados Unidos,Branco,Katina Paxinou,Grécia,Branco
1945,Bing Crosby,Estados Unidos,Branco,Ingrid Bergman,Suécia,Branco,Leo McCarey,Estados Unidos,Branco,Barry Fitzgerald,Irlanda,Branco,Ethel Barrymore,Estados Unidos,Branco
1946,Ray Milland,Reino Unido,Branco,Joan Crawford,Estados Unidos,Branco,Billy Wilder,Polônia,Branco,James Dunn,Estados Unidos,Branco,Anne Revere,Estados Unidos,Branco
1947,Fredric March,Estados Unidos,Branco,Olivia de Havilland,Japão,Branco,William Wyler,França,Branco,Harold Russell,Canadá,Branco,Anne Baxter,Estados Unidos,Branco
1948,Ronald Colman,Reino Unido,Branco,Loretta Young,Estados Unidos,Branco,Elia Kazan,Turquia,Branco,Edmund Gwenn,Reino Unido,Branco,Celeste Holm,Estados Unidos,Branco
1949,Laurence Olivier,Reino Unido,Branco,Jane Wyman,Estados Unidos,Branco,John Huston,Estados Unidos,Branco,Walter Huston,Canadá,Branco,Claire Trevor,Estados Unidos,Branco
1950,Broderick Crawford,Estados Unidos,Branco,Olivia de Havilland,Japão,Branco,Joseph L. Mankiewicz,Estados Unidos,Branco,Dean Jagger,Estados Unidos,Branco,Mercedes McCambridge,Estados Unidos,Branco
1951,José Ferrer,Porto Rico,Branco,Judy Holliday,Estados Unidos,Branco,Joseph L. Mankiewicz,Estados Unidos,Branco,George Sanders,Rússia,Branco,Josephine Hull,Estados Unidos,Branco
1952,Humphrey Bogart,Estados Unidos,Branco,Vivien Leigh,Índia,Branco,George Stevens,Estados Unidos,Branco,Karl Malden,Estados Unidos,Branco,Kim Hunter,Estados Unidos,Branco
1953,Gary Cooper,Estados Unidos,Branco,Shirley Booth,Estados Unidos,Branco,John Ford,Estados Unidos,Branco,Anthony Quinn,México,Latino,Gloria Grahame,Estados Unidos,Branco
1954,William Holden,Estados Unidos,Branco,Audrey Hepburn,Bélgica,Branco,Fred Zinnemann,Austria-Hungary,Branco,Frank Sinatra,Estados Unidos,Branco,Donna Reed,Estados Unidos,Branco
1955,Marlon Brando,Estados Unidos,Branco,Grace Kelly,Estados Unidos,Branco,Elia Kazan,Turquia,Branco,Edmond O'Brien,Estados Unidos,Branco,Eva Marie Saint,Estados Unidos,Branco
1956,Ernest Borgnine,Estados Unidos,Branco,Anna Magnani,Itália,Branco,Delbert Mann,Estados Unidos,Branco,Jack Lemmon,Estados Unidos,Branco,Jo Van Fleet,Estados Unidos,Branco
1957,Yul Brynner,Rússia,Branco,Ingrid Bergman,Suécia,Branco,George Stevens,Estados Unidos,Branco,Anthony Quinn,México,Latino,Dorothy Malone,Estados Unidos,Branco
1958,Alec Guinness,Reino Unido,Branco,Joanne Woodward,Estados Unidos,Branco,David Lean,Reino Unido,Branco,Red Buttons,Estados Unidos,Branco,Miyoshi Umeki,Japão,Branco
1959,David Niven,Reino Unido,Branco,Susan Hayward,Estados Unidos,Branco,Vincente Minnelli,Estados Unidos,Branco,Burl Ives,Estados Unidos,Branco,Wendy Hiller,Reino Unido,Branco
1960,Charlton Heston,Estados Unidos,Branco,Simone Signoret,Alemanha,Branco,William Wyler,França,Branco,Hugh Griffith,Reino Unido,Branco,Shelley Winters,Estados Unidos,Branco
1961,Burt Lancaster,Estados Unidos,Branco,Elizabeth Taylor,Reino Unido,Branco,Billy Wilder,Polônia,Branco,Peter Ustinov,Reino Unido,Branco,Shirley Jones,Estados Unidos,Branco
1962,Maximilian Schell,Áustria,Branco,Sophia Loren,Itália,Branco,,,Branco,George Chakiris,Estados Unidos,Branco,Rita Moreno,Porto Rico,Latina
1963,Gregory Peck,Estados Unidos,Branco,Anne Bancroft,Estados Unidos,Branco,David Lean,Reino Unido,Branco,Ed Begley,Estados Unidos,Branco,Patty Duke,Estados Unidos,Branco
1964,Sidney Poitier,Estados Unidos,Negro,Patricia Neal,Estados Unidos,Branco,Tony Richardson,Reino Unido,Branco,Melvyn Douglas,Estados Unidos,Branco,Margaret Rutherford,Reino Unido,Branco
1965,Rex Harrison,Reino Unido,Branco,Julie Andrews,Reino Unido,Branco,George Cukor,Estados Unidos,Branco,Peter Ustinov,Reino Unido,Branco,Lila Kedrova,Rússia,Branco
1966,Lee Marvin,Estados Unidos,Branco,Julie Christie,Índia,Branco,Robert Wise,Estados Unidos,Branco,Martin Balsam,Estados Unidos,Branco,Shelley Winters,Estados Unidos,Branco
