Ano,Melhor Ator,Melhor Ator_Nacionalidade,Melhor Ator_Etnia,Melhor Atriz,Melhor Atriz_Nacionalidade,Melhor Atriz_Etnia,Melhor Diretor,Melhor Diretor_Nacionalidade,Melhor Diretor_Etnia,Melhor Ator Coadjuvante,Melhor Ator Coadjuvante_Nacionalidade,Melhor Ator Coadjuvante_Etnia,Melhor Atriz Coadjuvante,Melhor Atriz Coadjuvante_Nacionalidade,Melhor Atriz Coadjuvante_Etnia
2005,Jamie Foxx,EUA,,Hilary Swank,EUA,,Clint Eastwood,EUA,,Morgan Freeman,EUA,,Cate Blanchett,Austrália,
2006,Philip Seymour Hoffman,EUA,,Reese Witherspoon,EUA,,Ang Lee,Taiwan,,George Clooney,EUA,,Rachel Weisz,Reino Unido,
2007,Forest Whitaker,EUA,,Helen Mirren,Reino Unido,,Martin Scorsese,EUA,,Alan Arkin,EUA,,Jennifer Hudson,EUA,
2008,Daniel Day-Lewis,Reino Unido,,Marion Cotillard,França,,,,,Javier Bardem,Espanha,,Tilda Swinton,Reino Unido,
2009,Sean Penn,EUA,,Kate Winslet,Reino Unido,,Danny Boyle,Reino Unido,,Heath Ledger,Austrália,,Penélope Cruz,Espanha,
2010,Jeff Bridges,EUA,,Sandra Bullock,EUA,,Kathryn Bigelow,EUA,,Christoph Waltz,Áustria,,Mo'Nique,EUA,
2011,Colin Firth,Reino Unido,,Natalie Portman,Israel,,Tom Hooper,Reino Unido,,Christian Bale,Reino Unido,,Melissa Leo,EUA,
2012,Jean Dujardin,França,,Meryl Streep,EUA,,Michel Hazanavicius,França,,Christopher Plummer,Canadá,,Octavia Spencer,EUA,
2013,Daniel Day-Lewis,Reino Unido,,Jennifer Lawrence,EUA,,Ang Lee,Taiwan,,Christoph Waltz,Áustria,,Anne Hathaway,EUA,
2014,Matthew McConaughey,EUA,,Cate Blanchett,Austrália,,Alfonso Cuarón,México,,Jared Leto,EUA,,Lupita Nyong'o,México,
2015,Eddie Redmayne,Reino Unido,,Julianne Moore,EUA,,Alejandro G. Iñárritu,México,,J.K. Simmons,EUA,,Patricia Arquette,EUA,
2016,Leonardo DiCaprio,EUA,,Brie Larson,EUA,,Alejandro G. Iñárritu,México,,Mark Rylance,Reino Unido,,Alicia Vikander,Suécia,
2017,Casey Affleck,EUA,,Emma Stone,EUA,,Damien Chazelle,EUA,,Mahershala Ali,EUA,,Viola Davis,EUA,
2018,Gary Oldman,Reino Unido,,Frances McDormand,EUA,,Guillermo del Toro,México,,Sam Rockwell,EUA,,Allison Janney,EUA,
2019,Rami Malek,EUA,,Olivia Colman,Reino Unido,,Alfonso Cuarón,México,,Mahershala Ali,EUA,,Regina King,EUA,
2020,Joaquin Phoenix,Porto Rico,,Renée Zellweger,EUA,,Bong Joon Ho,Coreia do Sul,,Brad Pitt,EUA,,Laura Dern,EUA,
2021,Anthony Hopkins,Reino Unido,,Frances McDormand,EUA,,Chloé Zhao,China,,Daniel Kaluuya,Reino Unido,,Youn Yuh-jung,Coreia do Sul,
2022,Will Smith,EUA,,Jessica Chastain,EUA,,Jane Campion,Nova Zelândia,,Troy Kotsur,EUA,,Ariana DeBose,EUA,
2023,Brendan Fraser,EUA,,Michelle Yeoh,Malásia,,,,,Ke Huy Quan,Vietnam,,Jamie Lee Curtis,EUA,
2024,Cillian Murphy,Irlanda,,Emma Stone,EUA,,Christopher Nolan,Reino Unido,,Robert Downey Jr.,EUA,,Da'Vine Joy Randolph,EUA,
2025,Adrien Brody,EUA,,Mikey Madison,EUA,,Sean Baker,EUA,,Kieran Culkin,EUA,,Zoe Saldaña,EUA,
