Ano,Gênero do Melhor Filme,Gênero do Melhor Diretor,Gênero do Melhor Ator,Gênero do Melhor Atriz,Gênero do Melhor Ator Coadjuvante,Gênero do Melhor Atriz Coadjuvante
1929,"Aventura, Drama, Romance",Não encontrado,"Drama, Romance, Guerra","Drama, Romance",Não encontrado,Não encontrado
1930,Drama,"Drama, História, Romance","Drama, Faroeste","Drama, Romance",Não encontrado,Não encontrado
1931,"Drama, Faroeste","Comédia, Drama, Família","Policial, Drama, Romance","Comédia, Drama",Não encontrado,Não encontrado
1932,"Comédia, Drama","Drama, Romance","Drama, Família, Esportes","Policial, Drama, Romance",Não encontrado,Não encontrado
1934,"Drama, Romance, Guerra","Drama, Romance, Guerra","Biografia, Drama, História","Drama, Romance",Não encontrado,Não encontrado
1935,"Comédia, Musical, Romance","Comédia, Romance","Comédia, Romance","Comédia, Romance",Não encontrado,Não encontrado
1936,"Drama, Romance","Policial, Drama","Policial, Drama","Drama, Romance",Não encontrado,Não encontrado
1937,"Drama, Romance","Comédia, Drama, Romance","Biografia, Drama, História","Drama, Musical","Drama, Romance","Aventura, Drama, Romance"
1938,"Aventura, Drama, Fantasia","Comédia, Romance","Aventura, Drama, Família","Drama, Romance","Biografia, Drama","Ação, Drama, Musical"
1939,"Ação, Aventura, Romance","Comédia, Drama, Romance","Biografia, Drama, Família","Drama, Romance","Drama, Romance, Esportes","Drama, Romance"
1940,"Drama, Romance, Guerra","Drama, Romance, Guerra","Drama, Romance","Drama, Romance, Guerra","Aventura, Drama, Faroeste","Drama, Romance, Guerra"
1941,"Comédia, Drama, Romance",Drama,"Comédia, Romance","Drama, Romance","Drama, Faroeste",Drama
1942,"Drama, Família","Drama, Família","Biografia, Drama, História","Drama, Filme noir, Mistério","Drama, Família",Drama
1943,"Drama, Romance, Guerra","Drama, Romance, Guerra","Biografia, Drama, Família","Drama, Romance, Guerra","Policial, Filme noir, Mistério","Drama, Romance, Guerra"
1944,"Biografia, Drama, Mistério","Drama, Romance, Guerra","Drama, Suspense","Biografia, Drama, Mistério",Comédia,"Aventura, Drama, História"
